TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	22 39 23.976	59 00 16.560	0.36114121	0.0173	0	0	0	-2.733	0.099	-1.884	0.099	Berkeley_97
1	22 39 07.865	59 04 15.129	0.38371979	0.0315	0	0	0	-3.951	0.035	-0.770	0.034	2008431406040225664
1	22 40 26.573	58 55 37.566	0.39844153	0.0235	0	0	0	-5.845	0.025	-4.092	0.027	2008379900791042048
1	22 38 57.863	58 50 09.627	0.38047675	0.0111	0	0	0	-4.228	0.012	-2.178	0.012	2008378212857607680
1	22 37 43.556	58 57 01.189	0.42281578	0.0452	0	0	0	-0.075	0.051	-2.012	0.046	2008409862483646080
1	22 39 07.709	58 52 00.696	0.46700218	0.0126	0	0	0	-5.181	0.014	-4.065	0.013	2008381309540033024
1	22 37 39.367	58 59 51.005	0.45744729	0.0151	0	0	0	-5.271	0.017	-4.514	0.016	2008410201776259968
1	22 38 15.588	58 59 36.417	0.34299842	0.0119	0	0	0	-4.332	0.013	-3.729	0.013	2008407491661705216
1	22 39 38.492	58 53 06.926	0.45486134	0.0105	0	0	0	-2.936	0.011	-5.070	0.011	2008378625176070272
1	22 39 58.681	59 14 51.638	0.45790663	0.0109	0	0	0	-5.817	0.011	-4.274	0.012	2008443049687284736
1	22 40 00.435	58 53 03.739	0.44042253	0.0117	0	0	0	-7.646	0.012	-4.079	0.012	2008379351034972928
1	22 38 45.753	58 55 46.990	0.46663146	0.0111	0	0	0	0.251	0.012	-1.163	0.012	2008382615210048384
1	22 40 15.768	58 47 32.393	0.47737776	0.0129	0	0	0	-3.400	0.014	-3.972	0.013	2008366225614969728
1	22 38 37.530	59 13 48.640	0.35779013	0.0195	0	0	0	-5.121	0.021	-2.355	0.022	2008448139232671872
1	22 40 46.188	59 12 11.510	0.48389639	0.0122	0	0	0	-6.296	0.013	-6.793	0.013	2008439171341125376
1	22 41 18.131	59 05 21.033	0.35405466	0.0129	0	0	0	-0.006	0.013	-0.333	0.014	2008387631732136960
1	22 41 04.109	59 05 16.830	0.40701266	0.0148	0	0	0	-1.993	0.015	0.027	0.016	2008390517950146944
1	22 38 35.856	59 07 23.721	0.41830420	0.0122	0	0	0	0.405	0.013	0.243	0.013	2008435632287730176
1	22 37 53.999	59 09 42.210	0.48952347	0.0131	0	0	0	0.808	0.013	-0.850	0.013	2008424740250271744
1	22 39 09.599	59 05 13.939	0.37518685	0.0132	0	0	0	-4.647	0.015	-2.334	0.013	2008431612198647680
1	22 39 33.537	58 49 36.864	0.44166277	0.0144	0	0	0	-6.081	0.015	-4.721	0.014	2008377598688320128
1	22 38 55.536	59 03 16.752	0.48592877	0.0137	0	0	0	-6.118	0.016	-4.308	0.014	2008431474759403904
1	22 41 13.536	58 56 21.913	0.45285534	0.0129	0	0	0	-5.944	0.014	-3.934	0.014	2008374059635553280
1	22 37 29.938	58 59 04.948	0.41416740	0.0161	0	0	0	-1.311	0.017	-1.298	0.015	2008410858916032768
1	22 40 05.661	58 53 21.800	0.40227375	0.0178	0	0	0	-4.631	0.019	-4.046	0.018	2008379351034975360
1	22 39 45.511	58 59 25.282	0.36349408	0.0149	0	0	0	-6.094	0.015	-3.118	0.015	2008383817801137152
1	22 40 56.365	58 52 05.115	0.36624515	0.0150	0	0	0	-4.801	0.017	-3.578	0.016	2008372616526560384
1	22 39 06.255	59 10 56.801	0.38647959	0.1690	0	0	0	-9.332	0.196	-6.003	0.196	2008437281555560192
1	22 39 19.039	59 03 27.605	0.34824007	0.0157	0	0	0	-4.105	0.017	-3.146	0.016	2008432058875274496
1	22 39 55.334	59 15 12.448	0.34759031	0.0166	0	0	0	-4.123	0.018	-3.798	0.017	2008443053991472896
1	22 41 08.538	58 55 10.709	0.38262004	0.0149	0	0	0	-6.795	0.016	-1.803	0.017	2008373612958961152
1	22 39 00.913	59 12 24.221	0.35692087	0.0153	0	0	0	-1.399	0.017	-2.257	0.017	2008437556433297920
1	22 39 29.916	59 02 57.453	0.48433199	0.0223	0	0	0	1.954	0.024	0.606	0.023	2008431818357122688
1	22 38 19.809	59 07 16.836	0.37523291	0.0158	0	0	0	-5.238	0.017	-2.306	0.016	2008435426129295104
1	22 38 41.838	59 07 45.994	0.34253767	0.0162	0	0	0	-0.771	0.017	-0.759	0.016	2008435563568254208
1	22 38 30.812	59 05 15.608	0.46316090	0.0162	0	0	0	-4.558	0.018	-2.390	0.016	2008434395337153280
1	22 38 23.093	59 02 27.030	0.37403892	0.0164	0	0	0	-0.365	0.018	-3.286	0.018	2008433983020297088
1	22 39 35.183	59 13 47.622	0.41245344	0.0187	0	0	0	0.953	0.020	-2.341	0.020	2008437796951492608
1	22 39 43.051	59 00 14.561	0.34200263	0.0174	0	0	0	-4.291	0.018	-2.202	0.018	2008384573715370624
1	22 40 13.463	59 05 53.340	0.44076974	0.0170	0	0	0	-0.310	0.018	-0.983	0.019	2008385497124817920
1	22 40 00.733	58 47 28.314	0.48527638	0.0205	0	0	0	-0.139	0.023	-0.610	0.021	2008366844090503552
1	22 40 04.182	58 47 53.194	0.36608619	0.0196	0	0	0	-1.533	0.022	-2.753	0.021	2008366844090247424
1	22 38 57.325	59 15 29.617	0.36648761	0.0165	0	0	0	-1.309	0.018	-0.843	0.019	2008449685420903168
1	22 40 18.031	58 51 05.269	0.38344721	0.0189	0	0	0	-0.179	0.021	-0.524	0.021	2008367290766834432
1	22 40 28.707	58 59 56.945	0.36122605	0.0194	0	0	0	-0.447	0.021	-0.896	0.021	2008381034662369920
1	22 39 02.553	58 45 42.904	0.44411964	0.0198	0	0	0	-7.883	0.022	-6.350	0.019	2008377014572770048
1	22 38 24.380	58 51 25.489	0.34769771	0.0183	0	0	0	-2.952	0.020	-3.704	0.019	2008358700831693056
1	22 40 54.465	59 05 01.849	0.38654809	0.0203	0	0	0	-3.436	0.022	-3.651	0.021	2008390548006263296
1	22 39 38.526	59 11 31.872	0.39389721	0.0511	0	0	0	-5.702	0.051	-1.194	0.054	2008436766159369856
1	22 37 33.096	59 00 16.502	0.48595396	0.0224	0	0	0	0.986	0.025	-2.867	0.023	2008411030714832384
1	22 38 53.986	59 05 28.558	0.44764807	0.0199	0	0	0	-1.850	0.022	-3.949	0.020	2008434498416374016
1	22 38 46.434	59 11 43.272	0.50041627	0.0198	0	0	0	-1.074	0.022	-5.092	0.022	2008447795635320704
1	22 39 51.156	59 03 34.908	0.40411160	0.0215	0	0	0	-7.487	0.022	-4.008	0.023	2008385325325934464
1	22 38 27.051	59 06 23.636	0.49154851	0.0201	0	0	0	-3.018	0.022	-3.783	0.021	2008435219970869888
1	22 39 06.905	58 53 23.808	0.33861756	0.1707	0	0	0	-2.554	0.185	-3.852	0.180	2008381378259500032
1	22 38 00.993	58 53 15.490	0.34733785	0.0203	0	0	0	-0.346	0.023	-1.379	0.022	2008405773674813952
1	22 39 16.835	59 14 29.679	0.35407483	0.0194	0	0	0	-3.484	0.021	-3.190	0.022	2008437728231986560
1	22 39 41.197	58 51 14.981	0.49278463	0.0205	0	0	0	-5.329	0.023	-4.780	0.021	2008377804846743552
1	22 38 43.565	58 56 59.282	0.44750306	0.0206	0	0	0	-4.679	0.023	-3.524	0.021	2008429550614076032
1	22 39 16.317	59 15 44.481	0.36777986	0.0206	0	0	0	3.456	0.024	1.514	0.025	2008449547981969024
1	22 39 29.016	58 45 50.764	0.49501534	0.1459	0	0	0	-0.548	0.157	-3.463	0.141	2008365091743577216
1	22 38 14.835	58 59 47.124	0.35622605	0.0226	0	0	0	-1.017	0.025	-2.691	0.024	2008407491661703680
1	22 40 25.261	59 05 42.321	0.49057550	0.0881	0	0	0	-0.028	0.092	-4.205	0.092	2008391136425391232
1	22 38 12.306	58 55 04.785	0.34456857	0.0227	0	0	0	-5.000	0.025	-2.426	0.023	2008406185991730560
1	22 40 13.121	58 59 48.958	0.48088878	0.0223	0	0	0	-7.431	0.024	-5.215	0.026	2008383920880379776
1	22 38 47.534	58 55 45.076	0.48124332	0.0228	0	0	0	-4.920	0.025	-3.942	0.023	2008382546490573824
1	22 40 38.718	59 06 17.548	0.42573112	0.0225	0	0	0	-1.066	0.025	-2.054	0.024	2008391170785416832
1	22 40 42.688	59 02 35.505	0.41460805	0.0781	0	0	0	-5.185	0.087	-2.566	0.081	2008390071273550976
1	22 39 49.737	58 47 03.338	0.39632590	0.0270	0	0	0	-2.008	0.030	-3.318	0.026	2008365400981230720
1	22 40 03.661	59 13 29.577	0.40583776	0.0250	0	0	0	-1.031	0.027	-0.382	0.026	2008442710394115200
1	22 39 34.996	58 59 43.725	0.38162662	0.0241	0	0	0	-0.379	0.025	-1.352	0.024	2008384504995669248
1	22 39 36.258	58 50 06.933	0.36638592	0.0243	0	0	0	-0.866	0.027	-1.800	0.025	2008377697462886656
1	22 37 45.043	59 02 56.055	0.36711460	0.0257	0	0	0	-3.373	0.029	-0.428	0.026	2008411649189997952
1	22 40 23.133	58 56 18.711	0.38924402	0.0242	0	0	0	-4.306	0.026	-3.452	0.026	2008379866431293952
1	22 40 16.806	58 53 25.529	0.39973611	0.0249	0	0	0	-0.084	0.027	0.671	0.026	2008379557193414016
1	22 40 21.533	59 04 11.228	0.45706420	0.0269	0	0	0	0.975	0.029	0.445	0.029	2008391033346185856
1	22 37 28.735	59 04 37.074	0.49974153	0.0266	0	0	0	-5.350	0.030	-4.810	0.026	2008423331501016832
1	22 40 13.449	58 54 42.131	0.35425450	0.0246	0	0	0	0.292	0.027	-1.803	0.027	2008379832071560192
1	22 39 37.646	59 11 07.088	0.50105649	0.0260	0	0	0	-3.979	0.027	-4.498	0.027	2008436731799634944
1	22 40 41.911	58 57 20.122	0.39762640	0.0261	0	0	0	-5.106	0.027	-2.280	0.028	2008385810666040960
1	22 38 07.235	59 11 46.663	0.39949501	0.0325	0	0	0	-2.487	0.034	-3.428	0.033	2008448311031173632
1	22 39 37.061	59 15 15.620	0.42199596	0.0259	0	0	0	-4.755	0.029	-3.509	0.030	2008438174908764416
1	22 40 01.715	59 12 31.002	0.47160486	0.0273	0	0	0	0.329	0.028	0.270	0.027	2008442710394124288
1	22 39 07.761	59 11 06.568	0.39252918	0.0271	0	0	0	-4.050	0.032	-2.876	0.030	2008437315915298944
1	22 41 19.547	59 04 01.237	0.34313301	0.0310	0	0	0	0.626	0.032	-1.355	0.034	2008387421269978112
1	22 41 02.968	58 52 28.099	0.41956105	0.0273	0	0	0	2.565	0.030	0.966	0.030	2008372650886301952
1	22 37 30.706	59 02 19.555	0.35667142	0.0314	0	0	0	-3.627	0.033	-0.427	0.033	2008411305592606592
1	22 39 26.714	58 46 31.547	0.41343256	0.0346	0	0	0	-1.467	0.038	-0.922	0.033	2008376911493568128
1	22 39 04.676	58 45 34.029	0.44985698	0.0305	0	0	0	-0.047	0.033	-1.268	0.029	2008376808414342656
1	22 38 50.273	58 50 18.890	0.38234903	0.0275	0	0	0	-3.902	0.030	-2.735	0.028	2008381137741339264
1	22 37 23.795	59 01 33.896	0.38180921	0.0328	0	0	0	0.302	0.036	-0.193	0.036	2008411202513523456
1	22 38 35.468	58 50 11.650	0.47653047	0.0271	0	0	0	-0.119	0.031	-0.729	0.027	2008357906253608704
1	22 40 15.345	58 55 35.995	0.38481922	0.0289	0	0	0	-4.503	0.031	-3.146	0.031	2008379832071554176
1	22 40 20.110	58 51 48.319	0.35698592	0.0336	0	0	0	-0.555	0.035	-1.196	0.036	2008367737443429632
1	22 41 08.319	58 58 12.590	0.48491375	0.0289	0	0	0	-5.860	0.031	-3.977	0.033	2008386085543962880
1	22 38 17.299	59 07 41.199	0.38077464	0.0290	0	0	0	-8.549	0.032	-1.733	0.030	2008435391769554560
1	22 38 32.531	58 59 29.039	0.45719194	0.0291	0	0	0	-0.128	0.032	-0.347	0.030	2008430650125686656
1	22 40 10.643	59 03 52.092	0.44302375	0.1475	0	0	0	0.641	0.147	0.202	0.149	2008385192190655616
1	22 40 06.185	58 55 45.292	0.36257683	0.0291	0	0	0	-0.933	0.031	-1.045	0.031	2008380278748143488
1	22 40 06.789	59 12 05.804	0.35392431	0.0303	0	0	0	0.436	0.032	0.321	0.031	2008439686737156864
1	22 38 04.386	58 50 17.944	0.44717871	0.0296	0	0	0	-0.790	0.032	-1.637	0.031	2008358460313518464
1	22 38 11.619	58 52 29.756	0.38562816	0.0404	0	0	0	-1.569	0.047	0.986	0.042	2008358941352579840
1	22 39 11.312	58 56 19.231	0.50170019	0.0305	0	0	0	-0.883	0.032	-3.799	0.030	2008382787008755584
1	22 39 40.651	59 14 10.771	0.35020179	0.0302	0	0	0	0.215	0.032	-1.446	0.032	2008437900030711424
1	22 40 50.276	59 08 43.818	0.42114658	0.0331	0	0	0	-3.686	0.033	-3.966	0.034	2008391686181202944
1	22 39 23.021	59 14 29.109	0.41898746	0.0525	0	0	0	0.054	0.058	-0.755	0.061	2008438106189116672
1	22 38 26.199	59 01 07.006	0.48003079	0.0303	0	0	0	-6.168	0.032	-3.585	0.031	2008430959363325696
1	22 40 32.946	59 03 30.915	0.46092922	0.0314	0	0	0	-4.285	0.033	-4.259	0.034	2008390243072222208
1	22 40 11.766	58 56 26.806	0.48886166	0.0321	0	0	0	-0.079	0.033	-2.593	0.035	2008380656705264128
1	22 39 03.900	58 58 20.614	0.37991514	0.0308	0	0	0	-5.416	0.034	-2.650	0.032	2008383126302250624
1	22 40 27.425	58 54 48.493	0.33640992	0.0319	0	0	0	-3.896	0.032	-1.213	0.034	2008379591553403520
1	22 38 18.101	58 58 48.751	0.41193717	0.0322	0	0	0	-4.717	0.035	-6.973	0.032	2008407216783805696
1	22 38 48.111	59 12 34.376	0.44819565	0.0318	0	0	0	0.819	0.036	-0.395	0.038	2008447898714710400
1	22 39 02.737	58 56 47.293	0.42268877	0.0377	0	0	0	-0.200	0.039	-0.968	0.037	2008383061888626816
1	22 40 28.762	58 52 23.953	0.35461785	0.0334	0	0	0	-1.297	0.036	-0.741	0.040	2008367698779175936
1	22 41 01.526	58 52 59.063	0.41194172	0.0329	0	0	0	-4.930	0.035	-4.621	0.037	2008372719605773184
1	22 41 10.183	59 06 45.702	0.42625538	0.0349	0	0	0	-15.461	0.034	-2.466	0.035	2008390689748830208
1	22 40 50.401	58 50 37.721	0.40140795	0.0352	0	0	0	-6.210	0.041	-2.892	0.038	2008366741011307520
1	22 39 29.875	58 55 14.904	0.39255318	0.1501	0	0	0	-6.114	0.150	-3.285	0.149	2008381893655580160
1	22 38 23.766	58 46 32.992	0.46056202	0.0332	0	0	0	-1.393	0.038	-3.475	0.032	2008354165346256512
1	22 38 31.608	59 14 08.609	0.41796046	0.0315	0	0	0	-4.507	0.034	-2.355	0.036	2008448792067688960
1	22 39 08.659	59 11 10.889	0.41800235	0.0323	0	0	0	-4.718	0.036	-1.986	0.035	2008437315915152000
1	22 40 31.706	59 12 43.074	0.48436916	0.0368	0	0	0	3.027	0.039	-0.976	0.038	2008439961615085696
1	22 41 02.067	59 04 12.515	0.44733943	0.0356	0	0	0	0.390	0.036	0.194	0.036	2008387563012654848
1	22 39 15.567	58 45 48.183	0.35150899	0.0351	0	0	0	-3.935	0.041	-0.921	0.033	2008376872828843008
1	22 40 05.628	59 12 22.382	0.37347360	0.0355	0	0	0	-3.252	0.038	-3.231	0.037	2008439755456628992
1	22 39 03.419	59 11 48.803	0.44630721	0.0338	0	0	0	0.794	0.039	-4.011	0.037	2008437487713830144
1	22 40 09.456	59 06 52.368	0.45195855	0.0344	0	0	0	-5.882	0.037	-4.045	0.036	2008432436832418176
1	22 39 46.963	59 09 25.170	0.39363783	0.0351	0	0	0	-4.086	0.038	-4.226	0.036	2008433673782948992
